epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,959.705,0.99444,2.02108,1.48969,1.36596,0.72493,0.61035,0.64057,0.3429,0.69929,0.58732,0.6092,0.29299,1.51934,2.25671,2.20064,2.04798,0.000664889,0.000664889,0.000664889
2,2743.83,1.02957,1.91133,1.1825,1.37941,0.82138,0.66452,0.71215,0.43333,0.7994,0.6371,0.67449,0.36971,1.42868,2.47805,1.83812,2.02257,0.00130519,0.00130519,0.00130519
3,3664.7,1.02129,1.91223,1.06305,1.38275,0.84665,0.67429,0.74347,0.48928,0.8535,0.66929,0.73543,0.46051,1.22481,2.05603,1.24765,1.77478,0.00191909,0.00191909,0.00191909
4,4605.88,0.98926,1.86592,1.0308,1.35122,0.88795,0.69478,0.75016,0.51835,0.87781,0.69597,0.74123,0.50238,1.11811,1.88397,1.50694,1.61522,0.0018812,0.0018812,0.0018812
5,5523.51,0.95047,1.76414,0.95547,1.32437,0.83656,0.66667,0.76208,0.50847,0.85005,0.67119,0.76071,0.51902,1.1624,1.83947,1.13701,1.66654,0.0018416,0.0018416,0.0018416
6,6442.87,0.92513,1.75684,0.91511,1.30757,0.88219,0.69761,0.80418,0.60251,0.88226,0.69859,0.79545,0.55323,0.97662,1.87561,1.01036,1.42735,0.001802,0.001802,0.001802
7,8118.73,0.90451,1.68359,0.89289,1.28979,0.88073,0.69883,0.80624,0.60513,0.88813,0.69788,0.80373,0.59476,0.89657,1.61045,0.95968,1.36964,0.0017624,0.0017624,0.0017624
8,9308.82,0.87863,1.65973,0.862,1.27047,0.86547,0.67749,0.796,0.59884,0.8679,0.6794,0.79066,0.59977,0.88176,1.58611,0.97451,1.33411,0.0017228,0.0017228,0.0017228
9,10221.9,0.85618,1.60996,0.82866,1.25498,0.87009,0.73767,0.83025,0.63904,0.86953,0.73576,0.82765,0.61421,0.81939,1.50951,0.83393,1.29781,0.0016832,0.0016832,0.0016832
10,12891.9,0.85738,1.64558,0.82621,1.25336,0.90135,0.71384,0.79419,0.62175,0.90586,0.71742,0.79501,0.60898,0.7945,1.4734,1.00738,1.27492,0.0016436,0.0016436,0.0016436
11,13858.8,0.81607,1.58413,0.78374,1.23149,0.88785,0.72619,0.82438,0.6388,0.8922,0.72769,0.82086,0.61441,0.79836,1.53904,0.87566,1.26338,0.001604,0.001604,0.001604
12,14768.3,0.82544,1.58494,0.79437,1.23374,0.88578,0.74077,0.82301,0.64555,0.88791,0.73611,0.8198,0.6285,0.78875,1.46752,0.90705,1.26034,0.0015644,0.0015644,0.0015644
13,15676.8,0.81054,1.55311,0.774,1.2186,0.86878,0.71778,0.81534,0.63192,0.87805,0.71712,0.81408,0.61524,0.80292,1.51598,0.87493,1.26536,0.0015248,0.0015248,0.0015248
14,16619.5,0.81639,1.5782,0.78412,1.22203,0.90201,0.74129,0.83663,0.66117,0.90483,0.74267,0.83487,0.63908,0.76744,1.40186,0.8771,1.22887,0.0014852,0.0014852,0.0014852
15,17450.5,0.7909,1.51934,0.75007,1.20525,0.89469,0.74005,0.84597,0.65917,0.90199,0.73896,0.84421,0.64452,0.7869,1.38265,0.78314,1.27295,0.0014456,0.0014456,0.0014456
16,18273.8,0.79847,1.53645,0.75615,1.212,0.88147,0.75387,0.85636,0.6813,0.88035,0.75292,0.85515,0.65939,0.74149,1.37204,0.76009,1.2056,0.001406,0.001406,0.001406
17,18997.4,0.77371,1.48061,0.72827,1.19617,0.83425,0.70455,0.80805,0.63328,0.84229,0.70217,0.80446,0.59869,0.75341,1.55421,0.91659,1.21501,0.0013664,0.0013664,0.0013664
18,19692.7,0.76502,1.48715,0.72157,1.19203,0.88556,0.75408,0.8625,0.68337,0.89259,0.75554,0.85943,0.64916,0.74331,1.41648,0.74332,1.21795,0.0013268,0.0013268,0.0013268
19,20396.5,0.78558,1.50292,0.72358,1.20801,0.91149,0.75085,0.85974,0.68408,0.9086,0.74847,0.85324,0.65436,0.73643,1.31334,0.75784,1.23077,0.0012872,0.0012872,0.0012872
20,21260.2,0.76427,1.48073,0.72604,1.18235,0.87669,0.77794,0.8736,0.70734,0.87616,0.77746,0.87015,0.68014,0.68496,1.27672,0.69117,1.14491,0.0012476,0.0012476,0.0012476
21,22120.8,0.74683,1.42713,0.70033,1.18067,0.88653,0.77865,0.8741,0.71295,0.88463,0.77841,0.87039,0.68143,0.67764,1.28463,0.66764,1.15447,0.001208,0.001208,0.001208
22,23005.2,0.76018,1.47644,0.69696,1.18306,0.88543,0.77555,0.86896,0.71212,0.89811,0.76234,0.86446,0.68182,0.68232,1.26671,0.69786,1.14943,0.0011684,0.0011684,0.0011684
23,23728.4,0.74957,1.43312,0.69457,1.17949,0.89528,0.78985,0.88619,0.72505,0.89225,0.7951,0.88451,0.6958,0.66864,1.23831,0.65823,1.14627,0.0011288,0.0011288,0.0011288
24,24536.6,0.73886,1.39475,0.69115,1.16933,0.91722,0.77618,0.88827,0.73375,0.90756,0.78413,0.88879,0.70194,0.64138,1.21766,0.66263,1.11229,0.0010892,0.0010892,0.0010892
25,25276.9,0.73501,1.4248,0.68371,1.16657,0.90482,0.7777,0.88572,0.73257,0.90184,0.78699,0.8855,0.69615,0.66072,1.26003,0.6701,1.13197,0.0010496,0.0010496,0.0010496
26,25970.8,0.72275,1.38306,0.67057,1.16073,0.88956,0.78491,0.88112,0.72988,0.90529,0.77984,0.87986,0.69521,0.65858,1.23598,0.6608,1.12858,0.00101,0.00101,0.00101
27,26676.2,0.71908,1.35677,0.65252,1.15508,0.91015,0.79342,0.88508,0.7279,0.91601,0.79414,0.88574,0.69974,0.66037,1.19119,0.64816,1.12031,0.0009704,0.0009704,0.0009704
28,27367.4,0.70902,1.361,0.65877,1.15218,0.8893,0.79432,0.89002,0.71897,0.89915,0.79342,0.89114,0.69733,0.68723,1.2085,0.63125,1.14825,0.0009308,0.0009308,0.0009308
29,28076.5,0.70902,1.34843,0.63987,1.14539,0.90383,0.79128,0.89092,0.74721,0.91379,0.78651,0.89076,0.71336,0.61725,1.15428,0.69776,1.08643,0.0008912,0.0008912,0.0008912
30,28774.6,0.69969,1.33574,0.63026,1.14474,0.92371,0.79747,0.90032,0.75397,0.92785,0.80105,0.89905,0.72031,0.61858,1.1496,0.61646,1.08377,0.0008516,0.0008516,0.0008516
31,32020.6,0.6959,1.3517,0.62774,1.13972,0.90938,0.79381,0.90207,0.75317,0.91117,0.79434,0.89961,0.71964,0.62382,1.14,0.59573,1.08687,0.000812,0.000812,0.000812
32,32748.4,0.68485,1.30215,0.61003,1.12879,0.91967,0.81129,0.91053,0.76917,0.92075,0.81225,0.90817,0.73169,0.59862,1.11327,0.57018,1.06604,0.0007724,0.0007724,0.0007724
33,33556.1,0.68023,1.29442,0.60819,1.1297,0.90519,0.81296,0.90669,0.75932,0.91815,0.80534,0.90754,0.72588,0.61055,1.1198,0.56378,1.07425,0.0007328,0.0007328,0.0007328
34,34455,0.68982,1.33523,0.61775,1.13154,0.90783,0.82392,0.91372,0.77487,0.90534,0.83107,0.91324,0.7397,0.58395,1.08728,0.57706,1.04843,0.0006932,0.0006932,0.0006932
35,35355.5,0.66786,1.28406,0.60054,1.11659,0.92274,0.81725,0.91672,0.77771,0.92391,0.82167,0.91533,0.74076,0.57792,1.07977,0.53121,1.03563,0.0006536,0.0006536,0.0006536
